代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格估值错误,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
300979,华利集团,38.06,-0.78,-0.3,26595.0,101263561.46,1.54,0.23,28.91,1.02,38.49,37.9,38.38,38.36,44416020000.0,44415728841.0,2.71,-22.26,-24.2,15.7,38.06,50.213499999999996,-24.2036504127376,True,2026-05-08,15.7,2.71,2.4630541871921183,0.16420361247947454,True,2026-05-08,44416020000.0,,8.670520231213871,True,2025-09-17,,纺织制造,
301004,嘉益股份,43.58,0.02,0.01,4020.0,17519592.99,0.85,0.3,25.87,0.47,43.8,43.43,43.57,43.57,6354235852.0,5931558357.0,3.54,-9.62,-16.27,18.32,43.58,52.186,-16.491012915341287,True,2026-05-08,18.32,3.54,67.06281833616299,11.884550084889643,True,2026-05-08,6354235852.0,,9.178522257916475,True,2025-10-20,,家居用品,
600000,浦发银行,9.09,-0.98,-0.09,719725.0,657929069.0,1.2,0.22,4.24,0.96,9.2,9.09,9.18,9.18,302750070147.0,302750070147.0,0.4,-10.44,-26.93,6.02,9.09,10.660333333333336,-14.730621306400693,True,2026-05-08,6.02,0.4,69.73293768545994,25.71711177052423,True,2026-05-08,302750070147.0,,4.51045104510451,True,2025-07-16,,银行Ⅱ,
600028,中国石化,5.27,-1.86,-0.1,3556190.0,1884326538.0,1.49,0.38,9.37,0.89,5.35,5.27,5.34,5.37,637277459950.0,499345545226.0,0.76,-18.17,-14.72,17.93,5.27,6.029749999999999,-12.60002487665326,True,2026-05-08,17.93,0.76,86.05341246290801,35.06429277942631,False,2026-05-08,637277459950.0,,4.326375711574952,True,2025-09-12,,炼化及贸易,
600039,四川路桥,8.06,0.5,0.04,466835.0,376136413.0,2.37,0.54,11.72,0.83,8.13,7.94,8.02,8.02,70086460599.0,70086460599.0,1.32,-16.65,-18.99,9.99,8.06,9.7205,-17.082454606244525,True,2026-05-08,9.99,1.32,58.30860534124629,44.609297725024724,False,2026-05-08,70086460599.0,,5.074441687344913,True,2025-10-23,,基础建设,
600050,中国联通,4.49,0.9,0.04,1909777.0,853627770.0,1.35,0.62,16.42,1.18,4.5,4.44,4.46,4.45,140377269718.0,139146937092.0,0.82,-12.82,-12.13,16.21,4.49,4.991666666666666,-10.050083472454075,True,2026-05-08,16.21,0.82,7.962413452027696,12.01780415430267,True,2026-05-08,140377269718.0,,3.8596881959910916,True,2025-10-24,,通信服务,
600057,厦门象屿,6.98,-0.85,-0.06,271540.0,189599837.0,1.99,1.3,9.51,0.54,7.07,6.93,7.02,7.04,19827313586.0,14605720945.0,1.26,-16.51,-18.08,15.19,6.98,8.253666666666668,-15.431525382658219,True,2026-05-08,15.19,1.26,94.46092977250248,58.160237388724035,False,2026-05-08,19827313586.0,,5.014326647564469,True,2025-11-25,,物流,
600067,冠城新材,3.55,0.28,0.01,279517.0,99113026.0,1.41,2.01,-60.0,0.73,3.57,3.52,3.55,3.54,4940424023.0,4940424023.0,0.88,-18.76,-14.46,256.09,3.55,4.19825,-15.440957541832912,True,2026-05-08,256.09,0.88,99.9028182701652,83.18496538081108,False,2026-05-08,4940424023.0,,6.197183098591551,True,2025-08-26,,电网设备,
600269,赣粤高速,4.44,0.0,0.0,102431.0,45511325.0,0.68,0.44,9.43,0.76,4.46,4.43,4.44,4.44,10369207142.0,10369207142.0,0.53,-10.48,-14.45,9.2,4.44,4.9855833333333335,-10.943219616561084,True,2026-05-08,9.2,0.53,50.0,36.20178041543027,False,2026-05-08,10369207142.0,,3.828828828828828,True,2025-05-30,,铁路公路,
600273,嘉化能源,8.06,-1.71,-0.14,222826.0,179947851.0,2.32,1.7,25.56,0.8,8.21,8.02,8.2,8.2,10569151523.0,10569151523.0,1.07,-33.72,-7.78,12.96,8.06,9.473833333333335,-14.923561388385565,True,2026-05-08,12.96,1.07,82.59149357072205,5.934718100890208,True,2026-05-08,10569151523.0,,4.962779156327543,True,2025-09-15,,化学制品,
600325,华发股份,3.56,-0.84,-0.03,514236.0,182865044.0,2.51,1.87,-2.59,0.69,3.61,3.52,3.59,3.59,9797661533.0,9797661533.0,1.14,-19.46,-15.64,-0.92,3.56,4.170916666666667,-14.647059998801225,True,2026-05-08,-0.92,1.14,,66.02373887240356,False,2026-05-08,9797661533.0,,3.48314606741573,True,2025-09-11,,房地产开发,
600373,中文传媒,8.46,-0.94,-0.08,142468.0,120091920.0,1.29,1.06,26.22,1.29,8.49,8.38,8.49,8.54,11398654763.0,11398654763.0,0.64,-11.41,-9.42,53.5,8.46,9.468250000000001,-10.648747128561242,True,2026-05-08,53.5,0.64,99.95054401582591,0.9891196834817012,True,2026-05-08,11398654763.0,,4.7281323877068555,True,2025-06-13,,出版,
600422,昆药集团,9.33,-2.0,-0.19,99085.0,93273933.0,2.63,1.31,-12.45,0.75,9.56,9.31,9.5,9.52,7062583813.0,7062583813.0,1.35,-25.12,-25.72,60.02,9.33,12.242166666666666,-23.78800049010932,True,2026-05-08,60.02,1.35,99.75272007912957,3.5113748763600396,True,2026-05-08,7062583813.0,,3.215434083601286,True,2025-07-30,,中药Ⅱ,
600559,老白干酒,13.51,0.07,0.01,94797.0,128514486.0,1.11,1.04,18.67,0.81,13.65,13.5,13.56,13.5,12358237968.0,12287472588.0,2.26,-21.27,-15.77,27.91,13.51,15.364333333333331,-12.069077734146171,True,2026-05-08,27.91,2.26,33.13550939663699,0.5934718100890208,True,2026-05-08,12358237968.0,,4.071058475203553,True,2025-06-20,,白酒Ⅱ,
600612,老凤祥,39.39,0.23,0.09,18125.0,71098678.0,1.32,0.57,9.42,1.22,39.52,39.0,39.44,39.3,20605608724.0,12490948326.0,1.5,-20.42,-11.42,12.2,39.39,43.81358333333333,-10.096374221845183,True,2026-05-08,12.2,1.5,7.665677546983185,0.2472799208704253,True,2026-05-08,20605608724.0,,5.204366590505203,True,2025-09-26,,饰品,
600690,海尔智家,21.44,-0.65,-0.14,488350.0,1053850392.0,2.04,0.78,10.81,0.67,21.85,21.41,21.71,21.58,201056379696.0,134064929132.0,1.61,-15.79,-17.82,10.74,21.44,24.989916666666666,-14.20539617645783,True,2026-05-08,10.74,1.61,2.0276953511374876,1.0385756676557862,True,2026-05-08,201056379696.0,,5.7567164179104475,True,2025-11-07,,白色家电,
600729,重庆百货,21.38,-0.09,-0.02,24398.0,52348120.0,1.64,1.27,8.44,0.77,21.7,21.35,21.69,21.4,9416886786.0,4115283205.0,1.16,-12.52,-17.26,11.09,21.38,24.730916666666666,-13.54950450010277,True,2026-05-08,11.09,1.16,48.61523244312561,0.9891196834817012,True,2026-05-08,9416886786.0,,7.114405986903649,True,2026-01-16,,一般零售,
600866,星湖科技,5.81,0.17,0.01,231764.0,134477497.0,1.38,1.85,-51.47,0.6,5.84,5.76,5.81,5.8,9653155899.0,7296019772.0,1.18,-22.12,-16.4,21.08,5.81,7.100833333333332,-18.178617533153375,True,2026-05-08,21.08,1.18,49.913043478260875,7.91295746785361,True,2026-05-08,9653155899.0,,6.540447504302927,True,2025-06-23,,化学制品,
600873,梅花生物,9.48,-2.47,-0.24,505779.0,480887220.0,3.19,1.8,56.36,1.19,9.74,9.43,9.73,9.72,26584210842.0,26584210842.0,1.62,-14.13,-6.42,11.17,9.48,10.788166666666665,-12.125940459454021,True,2026-05-08,11.17,1.62,51.33531157270029,20.969337289812067,True,2026-05-08,26584210842.0,,4.493354430379746,True,2025-05-23,,化学制品,
600983,惠而浦,9.33,0.21,0.02,38552.0,35945417.0,1.07,0.5,18.78,0.59,9.39,9.29,9.31,9.31,7150875870.0,7150875870.0,2.33,-14.09,-2.41,14.33,9.33,10.604666666666667,-12.019865468032942,True,2026-05-08,14.33,2.33,8.116545265348595,75.1730959446093,True,2026-05-08,7150875870.0,,3.108252947481243,True,2025-06-27,,白色家电,
601010,ST文峰,2.0,-4.76,-0.1,17516.0,3503200.0,0.0,0.09,20.21,0.08,2.0,2.0,2.0,2.1,3696000000.0,3696000000.0,0.9,-26.2,-26.74,-34.71,2.0,2.6109166666666668,-23.398550955922246,True,2026-05-08,-34.71,0.9,,8.011869436201781,True,2026-05-08,3696000000.0,,5.250000000000001,True,2025-09-12,,一般零售,
601019,山东出版,7.56,0.27,0.02,108252.0,81626042.0,0.93,0.52,12.01,0.9,7.57,7.5,7.52,7.54,15776964000.0,15776964000.0,1.0,-18.62,-12.5,13.38,7.56,8.669416666666667,-12.79690098334183,True,2026-05-08,13.38,1.0,86.89416419386747,6.973293768545995,True,2026-05-08,15776964000.0,,4.894179894179895,True,2025-10-13,,出版,
601567,三星电气,20.27,0.45,0.09,278353.0,565842596.0,2.38,1.98,42.56,0.83,20.59,20.11,20.23,20.18,28483594538.0,28483594538.0,2.44,-17.23,-11.95,29.92,20.27,25.126249999999995,-19.32739664693297,True,2026-05-08,29.92,2.44,98.07121661721068,66.17210682492582,False,2026-05-08,28483594538.0,,6.78342377898372,True,2025-10-20,,电网设备,
601717,中创智领,18.25,-0.05,-0.01,242851.0,443325826.0,1.2,1.57,9.13,0.72,18.38,18.16,18.26,18.26,32583548723.0,28144524573.0,1.3,-26.85,-25.66,7.95,18.25,23.005916666666668,-20.672580604264844,True,2026-05-08,7.95,1.3,18.15034619188922,57.467853610286845,True,2026-05-08,32583548723.0,,6.136986301369863,True,2025-07-25,,专用设备,
601766,中国中车,5.94,0.0,0.0,2648539.0,1578171321.0,1.52,1.09,12.62,1.24,6.02,5.93,5.95,5.94,170471252683.0,144507120405.0,0.97,-6.6,-12.9,12.62,5.94,6.653583333333333,-10.72479741492678,True,2026-05-08,12.62,0.97,2.6706231454005933,5.786350148367952,True,2026-05-08,170471252683.0,,5.387205387205387,True,2025-11-20,,轨交设备Ⅱ,
601800,中国交建,6.94,-0.14,-0.01,1109660.0,772413633.0,1.44,0.94,6.88,2.96,7.03,6.93,6.97,6.95,112946030922.0,81779093314.0,0.39,-15.67,-14.53,8.44,6.94,8.12125,-14.545174696013541,True,2026-05-08,8.44,0.39,74.43125618199802,0.1483679525222552,True,2026-05-08,112946030922.0,,4.026080691642651,True,2026-01-09,,基础建设,
603008,ST喜临门,9.31,-5.0,-0.49,3743.0,3484733.0,0.0,0.1,-23.9,0.08,9.31,9.31,9.31,9.8,3428802570.0,3428802570.0,0.98,-55.77,-54.54,25.5,9.31,18.762166666666666,-50.37886526964724,True,2026-05-08,25.5,0.98,72.81935846933033,0.09891196834817012,True,2026-05-08,3428802570.0,,8.592910848549947,True,2025-11-26,,家居用品,
603113,金能科技,5.82,-3.8,-0.23,469382.0,275468508.0,3.64,5.53,-2.09,1.96,6.02,5.8,6.01,6.05,4938215385.0,4938215385.0,0.68,-18.14,-4.75,-7.66,5.82,6.795083333333333,-14.349836278681883,True,2026-05-08,-7.66,0.68,,15.82591493570722,True,2026-05-08,4938215385.0,,6.099656357388315,True,2025-09-17,,化学原料,
603202,天有为,79.54,-0.03,-0.02,12615.0,99835804.0,1.03,2.51,25.07,0.74,79.6,78.78,79.41,79.56,12726400000.0,3993987517.0,1.85,-14.66,-13.36,15.74,79.54,92.62325000000001,-14.125233135308902,True,2026-05-08,15.74,1.85,98.0,1.6,True,2026-05-08,12726400000.0,,4.387729444304752,True,2025-10-16,,汽车零部件,
603230,内蒙新华,10.87,0.28,0.03,21758.0,23651141.0,0.83,0.62,15.45,0.68,10.9,10.81,10.84,10.84,3842795010.0,3842795010.0,1.36,-15.93,-11.98,46.61,10.87,12.265999999999998,-11.381053318115109,True,2026-05-08,46.61,1.36,100.0,0.8530805687203791,True,2026-05-08,3842795010.0,,4.415823367065317,True,2025-06-19,,出版,
603277,银都股份,13.33,1.14,0.15,20890.0,27575877.0,2.12,0.34,49.41,1.08,13.35,13.07,13.2,13.18,8180611736.0,8127914513.0,2.87,-17.15,-20.8,24.91,13.33,15.936,-16.352911646586342,True,2026-05-08,24.91,2.87,90.25717111770524,33.7784371909001,False,2026-05-08,8180611736.0,,6.3765941485371345,True,2025-10-20,,通用设备,
603369,今世缘,27.55,-0.07,-0.02,98550.0,272466167.0,2.43,0.79,6.2,0.7,28.08,27.41,27.62,27.57,34349341019.0,34349341019.0,1.91,-22.26,-20.79,14.65,27.55,32.379999999999995,-14.916615194564532,True,2026-05-08,14.65,1.91,6.627101879327399,1.0880316518298714,True,2026-05-08,34349341019.0,,4.3557168784029034,True,2025-06-06,,白酒Ⅱ,
603456,九洲药业,13.64,0.29,0.04,150967.0,205697512.0,0.96,1.7,17.63,0.6,13.71,13.58,13.65,13.6,12132043822.0,12132043822.0,1.36,-25.99,-23.8,18.61,13.64,17.783749999999998,-23.300766148871855,True,2026-05-08,18.61,1.36,13.501483679525222,1.533135509396637,True,2026-05-08,12132043822.0,,3.6656891495601167,True,2025-09-08,,医疗服务,
603529,爱玛科技,23.19,-0.3,-0.07,82616.0,191274576.0,0.95,0.97,25.66,0.65,23.29,23.07,23.29,23.26,20126438253.0,19654927021.0,2.04,-22.96,-21.92,12.38,23.19,29.63633333333333,-21.75145373359276,True,2026-05-08,12.38,2.04,21.585160202360875,0.16863406408094433,True,2026-05-08,20126438253.0,,5.260888313928417,True,2025-09-11,,摩托车及其他,
603566,普莱柯,11.67,-0.17,-0.02,51629.0,60028944.0,1.63,1.49,24.79,0.93,11.75,11.56,11.73,11.69,4038546726.0,4038546726.0,1.53,-15.37,-6.11,23.37,11.67,13.198583333333334,-11.581419723076348,True,2026-05-08,23.37,1.53,4.648862512363996,0.741839762611276,True,2026-05-08,4038546726.0,,5.141388174807198,True,2025-10-17,,动物保健Ⅱ,
603569,长久物流,6.66,1.22,0.08,44811.0,29804176.0,1.22,0.74,1057.47,0.77,6.68,6.6,6.62,6.58,4019358292.0,4019358292.0,1.52,-9.39,-12.94,-44.46,6.66,7.464583333333334,-10.778677086240585,True,2026-05-08,-44.46,1.52,,7.072205736894165,True,2026-05-08,4019358292.0,,5.405405405405405,True,2025-10-22,,物流,
603589,口子窖,23.44,-0.42,-0.1,37209.0,87608267.0,1.23,0.62,10.66,0.89,23.73,23.44,23.54,23.54,14019920424.0,14019920424.0,1.31,-25.21,-22.0,35.81,23.44,28.393500000000003,-17.445894306795573,True,2026-05-08,35.81,1.31,99.55489614243324,0.09891196834817012,True,2026-05-08,14019920424.0,,5.546075085324232,True,2025-07-07,,白酒Ⅱ,
603833,欧派家居,46.5,-0.9,-0.42,20336.0,94627408.0,2.3,0.33,45.75,0.55,47.32,46.24,47.32,46.92,28325608316.0,28325608316.0,1.53,-25.41,-8.57,15.36,46.5,53.940749999999994,-13.794302081450471,True,2026-05-08,15.36,1.53,26.95351137487636,0.5934718100890208,True,2026-05-08,28325608316.0,,8.0,True,2026-01-09,,家居用品,
603919,金徽酒,17.65,0.63,0.11,34448.0,60914330.0,1.48,0.68,10.94,0.75,17.83,17.57,17.65,17.54,8953138947.0,8953138947.0,2.53,-17.29,-12.71,27.54,17.65,19.881416666666663,-11.223630106841808,True,2026-05-08,27.54,2.53,45.20276953511375,10.682492581602373,True,2026-05-08,8953138947.0,,3.9660056657223794,True,2026-02-10,,白酒Ⅱ,
605338,巴比食品,22.92,-0.13,-0.03,15942.0,36560513.0,1.48,0.67,29.08,0.71,23.12,22.78,22.92,22.95,5490867893.0,5490867893.0,2.3,-24.46,-26.82,19.4,22.92,27.890916666666666,-17.8227081098685,True,2026-05-08,19.4,2.3,26.498889711324946,28.497409326424872,True,2026-05-08,5490867893.0,,3.4904013961605584,True,2025-05-14,,食品加工,
688606,奥泰生物,54.44,-1.34,-0.74,8276.0,45044849.0,1.3,1.04,55.64,1.41,54.92,54.2,54.2,55.18,4316049746.0,4316049746.0,1.11,-20.87,-14.79,24.2,54.44,64.74275000000002,-15.913364816910025,True,2026-05-08,24.2,1.11,90.47195013357079,10.008071025020177,True,2026-05-08,4316049746.0,,4.592211609110948,True,2025-10-16,,医疗器械,
689009,九号公司-WD,42.68,-0.21,-0.09,112365.0,483102680.0,2.43,2.02,37.92,0.72,43.58,42.54,42.95,42.77,30843002937.0,23715469441.0,4.17,-21.62,-23.22,20.49,42.68,52.08141666666666,-18.051384290941897,True,2026-05-08,20.49,4.17,4.932378679395385,5.23168908819133,True,2026-05-08,30843002937.0,,3.6357310215557637,True,2025-10-31,,摩托车及其他,
