代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
000028,国药一致,20.49,20.48,20.49,20.22,20.24,20.7,20.24,3785255.0,77582110.0,1.335,0.27,20.49,24.395083333333336,-16.00766547904121,True,2026-07-13,11.45311168831169,0.6812259740259741,35.46341463414634,1.2682926829268293,True,2026-07-13,12544420256.16,,,,正常,12544420256.16,3.0063445583211323,True,2026-06-24,,医药流通,,,,,,,,,,,
000030,富奥股份,3.92,3.91,3.92,3.98,3.97,3.98,3.89,9902448.0,38914788.0,-1.508,-0.06,3.92,4.965833333333334,-21.060580634334634,True,2026-07-13,10.156363636363634,0.8117171717171716,12.54237288135593,0.09685230024213075,True,2026-07-13,6741658512.202021,,,,正常,6741658512.202021,3.826530612244898,True,2026-06-26,,底盘与发动机系统,,,,,,,,,,,
000157,中联重科,6.99,6.99,7.0,7.26,7.23,7.24,6.97,64218566.0,452969680.0,-3.719,-0.27,6.99,8.292166666666667,-15.703575663779068,True,2026-07-13,13.95004285714286,1.0385142857142862,31.186440677966104,34.866828087167065,False,2026-07-13,60453261299.640015,,,,正常,60453261299.640015,7.153075822603719,True,2026-01-09,,工程机械整机,,,,,,,,,,,
000408,藏格矿业,67.35,67.35,67.36,69.3,68.77,68.9,66.87,11674194.0,789552288.0,-2.814,-1.95,67.35,80.94808333333332,-16.798524156944204,True,2026-07-13,22.584726288056206,6.910472775175643,50.10449320794148,92.13759213759214,False,2026-07-13,105666408681.624,,,,正常,105666408681.624,3.711952487008167,True,2026-04-17,,钾肥,,,,,,,,,,,
000411,英特集团,9.29,9.28,9.29,9.31,9.26,9.5,9.26,5020022.0,47002783.0,-0.215,-0.02,9.29,11.274416666666665,-17.601058443526274,True,2026-07-13,10.918247311827958,0.9689569892473113,7.18124084025403,0.24425989252564728,True,2026-07-13,5247448566.539786,,,,正常,5247448566.539786,3.8105489773950487,True,2026-07-10,,医药流通,,,,,,,,,,,
000419,通程控股,4.65,4.65,4.66,4.68,4.68,4.7,4.61,7790300.0,36239694.0,-0.641,-0.03,4.65,5.71225,-18.595999824937625,True,2026-07-13,17.7318669527897,0.738412017167382,43.050847457627114,7.457627118644068,True,2026-07-13,2527659345.450644,,,,正常,2527659345.450644,3.225806451612903,True,2025-08-08,,多业态零售,,,,,,,,,,,
000498,山东路桥,4.91,4.91,4.92,4.87,4.85,4.93,4.82,7914500.0,38776734.0,0.821,0.04,4.91,5.6602500000000004,-13.254714897751875,True,2026-07-13,3.550619834710743,0.4666528925619834,4.796511627906977,0.6298449612403101,True,2026-07-13,7622490337.677687,,,,正常,7622490337.677687,7.9837046843177175,True,2026-07-06,,基建市政工程,,,,,,,,,,,
000521,长虹美菱,5.37,5.37,5.38,5.48,5.42,5.55,5.35,16808236.0,91171217.0,-2.007,-0.11,5.37,5.987833333333333,-10.318145127619882,True,2026-07-13,18.49366834170854,0.935477386934673,40.65671641791045,55.878084179970976,False,2026-07-13,5530690349.954775,,,,正常,5530690349.954775,3.910614525139665,True,2026-06-23,,冰洗,,,,,,,,,,,
000528,柳 工,7.74,7.74,7.75,7.9,7.83,7.88,7.72,26119113.0,202901383.0,-2.025,-0.16,7.74,9.781083333333333,-20.867661216804546,True,2026-07-13,10.116139896373056,0.8622279792746114,15.820029027576195,19.787131107885823,True,2026-07-13,15768332724.800518,,,,正常,15768332724.800518,4.198718346253229,True,2026-06-04,,工程机械整机,,,,,,,,,,,
000544,中原环保,7.11,7.11,7.12,7.07,7.02,7.14,7.0,5331062.0,37776134.0,0.566,0.04,7.11,8.244583333333333,-13.761560620609481,True,2026-07-13,6.510842696629214,0.7589325842696629,0.293398533007335,3.2273838630806844,True,2026-07-13,6930006710.11938,,,,正常,6930006710.11938,3.79746835443038,True,2026-06-18,,水务及水治理,,,,,,,,,,,
000563,陕国投Ａ,2.9,2.89,2.9,2.87,2.86,2.9,2.85,48153822.0,138719148.0,1.045,0.03,2.9,3.24125,-10.528345545699969,True,2026-07-13,11.103146853146855,0.801048951048951,0.8716707021791767,1.3075060532687652,True,2026-07-13,14830514038.321678,,,,正常,14830514038.321678,3.103448275862069,True,2026-04-28,,信托,,,,,,,,,,,
000568,泸州老窖,76.75,76.75,76.76,78.18,77.18,77.48,76.06,11485515.0,880177410.0,-1.829,-1.43,76.75,99.24208333333334,-22.663856478896307,True,2026-07-13,11.357976404206205,2.184983329058733,0.7256894049346879,0.29027576197387517,True,2026-07-13,112968437285.50589,,,,正常,112968437285.50589,7.752442996742672,True,2026-01-30,,白酒Ⅲ,,,,,,,,,,,
000600,建投能源,7.73,7.73,7.74,8.03,8.0,8.04,7.69,25148700.0,196751904.0,-3.736,-0.3,7.73,9.37275,-17.526873116214546,True,2026-07-13,6.850352467270898,1.1131822759315206,0.06305170239596469,75.70370370370371,True,2026-07-13,13939001726.729107,,,,正常,13939001726.729107,4.139715394566624,True,2026-06-03,,火电,,,,,,,,,,,
000612,焦作万方,10.32,10.32,10.33,10.01,10.6,10.62,10.32,53746581.0,562866731.0,3.097,0.31,10.32,12.335000000000003,-16.33563032022701,True,2026-07-13,8.660208136234626,1.679318826868495,1.2589928057553956,72.94921875,True,2026-07-13,12303497746.490065,,,,正常,12303497746.490065,3.14922480620155,True,2026-05-26,,铝,,,,,,,,,,,
000625,长安汽车,6.89,6.89,6.9,7.11,7.05,7.06,6.88,81034191.0,562101576.0,-3.094,-0.22,6.89,9.551333333333334,-27.86347455852587,True,2026-07-13,22.222406119610575,0.8816133518776081,56.99396599012616,13.304305757135944,True,2026-07-13,68299919225.605,,,,正常,68299919225.605,5.007256894049347,True,2025-11-28,,综合乘用车,,,,,,,,,,,
000655,金岭矿业,6.18,6.17,6.18,6.3,6.29,6.32,6.15,4844100.0,30078794.0,-1.905,-0.12,6.18,8.651916666666667,-28.570740587345778,True,2026-07-13,14.474463452566097,1.0668429237947124,9.466746554823247,14.804063860667634,True,2026-07-13,3679202621.4961123,,,,正常,3679202621.4961123,5.436893203883495,True,2026-06-25,,铁矿石,,,,,,,,,,,
000683,博源化工,5.34,5.34,5.35,5.5,5.48,5.52,5.31,97863840.0,524051949.0,-2.909,-0.16,5.34,7.972333333333334,-33.01835514487605,True,2026-07-13,19.397435897435898,1.6704615384615393,77.81856318825379,57.81021897810219,False,2026-07-13,19847880530.399998,,,,正常,19847880530.399998,5.617977528089887,True,2026-07-07,,纯碱,,,,,,,,,,,
000708,中信特钢,12.94,12.94,12.95,12.8,12.81,13.05,12.7,14370317.0,185723189.0,1.094,0.14,12.94,14.976249999999999,-13.596527835739913,True,2026-07-13,10.779952978056432,1.5414420062695928,12.087378640776699,28.349514563106798,True,2026-07-13,65310232646.03606,,,,正常,65310232646.03606,4.990690880989181,True,2026-05-21,,特钢Ⅲ,,,,,,,,,,,
000718,苏宁环球,1.8,1.8,1.81,1.82,1.8,1.83,1.78,23803874.0,42881837.0,-1.099,-0.02,1.8,2.1265833333333335,-15.35718484266625,True,2026-07-13,293.7498711488374,0.5931818181818183,98.39958699019101,4.067796610169491,True,2026-07-13,5462345491.363636,,,,正常,5462345491.363636,3.8888888888888884,True,2025-12-11,,房地产开发,,,,,,,,,,,
000719,中原传媒,11.41,11.41,11.42,11.35,11.33,11.64,11.29,5278710.0,60710254.0,0.529,0.06,11.41,12.957583333333332,-11.943456534461793,True,2026-07-13,8.476000000000003,0.9990322580645163,29.99016715830875,59.587020648967545,True,2026-07-13,11674754776.458067,,,,正常,11674754776.458067,5.784399649430323,True,2026-07-01,,大众出版,,,,,,,,,,,
000726,鲁 泰Ａ,5.56,5.56,5.58,5.56,5.55,5.61,5.52,4071300.0,22686368.0,0.0,0.0,5.56,6.708333333333333,-17.118012422360252,True,2026-07-13,8.434153297682707,0.4658110516934043,12.154963680387409,0.4358353510895884,True,2026-07-13,4545442374.652406,,,,正常,4545442374.652406,4.496402877697842,True,2026-06-18,,棉纺,,,,,,,,,,,
000786,北新建材,17.47,17.47,17.48,17.27,17.12,17.55,17.08,30030953.0,520892153.0,1.158,0.2,17.47,24.582583333333332,-28.93342508754504,True,2026-07-13,10.366813186813188,1.113472527472527,5.88235294117647,0.19445794846864364,True,2026-07-13,29738063653.35605,,,,正常,29738063653.35605,3.921007441327991,True,2026-06-12,,其他建材,,,,,,,,,,,
000788,北大医药,5.23,5.22,5.23,5.23,5.2,5.28,5.15,16214500.0,84604343.0,0.0,0.0,5.23,5.8854999999999995,-11.137541415342778,True,2026-07-13,48.5205078125,2.0940429687500006,24.031007751937985,3.875968992248062,True,2026-07-13,3117014232.7500005,,,,正常,3117014232.7500005,3.7858508604206498,True,2026-03-10,,化学制剂,,,,,,,,,,,
000789,万年青,3.84,3.84,3.85,3.87,3.87,3.89,3.82,3745667.0,14404810.0,-0.775,-0.03,3.84,4.9910000000000005,-23.06151071929474,True,2026-07-13,105.52654895904948,0.48620155038759677,91.53522607781282,0.1937046004842615,True,2026-07-13,3062093625.5503883,,,,正常,3062093625.5503883,3.90625,True,2026-06-12,,水泥制造,,,,,,,,,,,
000795,英洛华,8.09,8.09,8.1,8.62,8.55,8.58,8.08,28023041.0,230142757.0,-6.148,-0.53,8.09,9.522250000000001,-15.041087978156442,True,2026-07-13,36.056586134453774,3.5011344537815132,6.760700389105058,75.58365758754863,True,2026-07-13,9030468276.022058,,,,正常,9030468276.022058,3.2509270704573554,True,2026-06-03,,磁性材料,,,,,,,,,,,
000807,云铝股份,23.06,23.05,23.06,23.15,22.75,23.27,22.55,92432132.0,2113814277.0,-0.389,-0.09,23.06,30.378666666666668,-24.09146769662922,True,2026-07-13,9.21342201834862,2.3271559633027525,6.862202545655784,78.42850170815032,True,2026-07-13,79971097759.30002,,,,正常,79971097759.30002,3.0312228967909807,True,2026-06-10,,铝,,,,,,,,,,,
000858,五 粮 液,72.82,72.81,72.82,73.69,73.06,73.45,72.15,30602266.0,2224717873.0,-1.181,-0.87,72.82,94.05850000000001,-22.580096429349837,True,2026-07-13,22.436221148684908,2.20844337090714,30.237058538945334,0.1935171746492501,True,2026-07-13,282658694924.4909,,,,正常,282658694924.4909,7.892062620159297,True,2025-12-18,,白酒Ⅲ,,,,,,,,,,,
000888,峨眉山Ａ,9.09,9.09,9.1,9.25,9.22,9.26,9.08,6026703.0,54979975.0,-1.73,-0.16,9.09,11.876083333333334,-23.45961421063342,True,2026-07-13,21.733909691629954,1.7619383259911894,26.247798003523194,50.2177068214804,True,2026-07-13,4789640097.019823,,,,正常,4789640097.019823,3.63036303630363,True,2025-12-26,,自然景区,,,,,,,,,,,
000897,津滨发展,1.65,1.65,1.66,1.69,1.68,1.71,1.64,24967210.0,41460080.0,-2.367,-0.04,1.65,2.066416666666667,-20.15163124571523,True,2026-07-13,17.18222952725118,0.8884615384615385,66.973079448457,0.09704027171276079,True,2026-07-13,2668499185.650889,,,,正常,2668499185.650889,5.757575757575758,True,2025-07-28,,房地产开发,,,,,,,,,,,
000899,赣能股份,9.51,9.51,9.52,9.64,9.57,9.76,9.5,9297600.0,88974891.0,-1.349,-0.13,9.51,11.930333333333332,-20.287223044899548,True,2026-07-13,9.140219341974078,1.5170488534396804,0.058173356602675974,65.22593320235757,True,2026-07-13,9278695497.78964,,,,正常,9278695497.78964,5.962145110410094,True,2026-06-15,,火电,,,,,,,,,,,
000910,大亚圣象,5.25,5.21,5.25,5.37,5.35,5.39,5.2,4657513.0,24530984.0,-2.235,-0.12,5.25,6.825500000000001,-23.082558054354998,True,2026-07-13,215.47789929000015,0.444230769230769,97.13592233009709,0.1935171746492501,True,2026-07-13,2873836875.0,,,,正常,2873836875.0,3.619047619047619,True,2026-05-15,,瓷砖地板,,,,,,,,,,,
000913,钱江摩托,10.38,10.37,10.38,10.35,10.35,10.47,10.25,5267800.0,54598377.0,0.29,0.03,10.38,13.75575,-24.540646638678364,True,2026-07-13,6.421440922190204,1.08685878962536,0.3386550556361877,0.43541364296081275,True,2026-07-13,5464146179.999999,,,,正常,5464146179.999999,10.597302504816957,True,2026-05-27,,摩托车,,,,,,,,,,,
000915,华特达因,24.5,24.5,24.55,24.52,24.49,24.81,24.31,2164200.0,53259947.0,-0.082,-0.02,24.5,29.90158333333334,-18.06453950320358,True,2026-07-13,12.392552366175332,2.29034134988363,6.098741529525654,14.181994191674734,True,2026-07-13,5741121382.214895,,,,正常,5741121382.214895,10.204081632653061,True,2026-07-01,,化学制剂,,,,,,,,,,,
000923,河钢资源,13.05,13.04,13.05,13.15,13.08,13.42,12.86,27249302.0,356591400.0,-0.76,-0.1,13.05,18.604583333333334,-29.85599426664576,True,2026-07-13,18.356724683544304,0.8775712025316453,51.23367198838898,4.78955007256894,True,2026-07-13,8518112941.008698,,,,正常,8518112941.008698,4.597701149425286,True,2026-06-15,,铁矿石,,,,,,,,,,,
000928,中钢国际,4.82,4.82,4.84,4.89,4.87,4.92,4.78,17418367.0,84195522.0,-1.431,-0.07,4.82,6.400833333333334,-24.69730503840646,True,2026-07-13,15.77804391217565,0.837005988023952,79.6692607003891,0.09727626459143969,True,2026-07-13,6914987073.017964,,,,正常,6914987073.017964,4.356846473029046,True,2026-06-05,,国际工程承包,,,,,,,,,,,
000932,华菱钢铁,3.53,3.53,3.54,3.5,3.48,3.55,3.46,95675747.0,335937540.0,0.857,0.03,3.53,4.949083333333333,-28.67366010540673,True,2026-07-13,10.768985915492951,0.43752112676056326,81.18045476536042,0.3386550556361877,True,2026-07-13,24189710334.799995,,,,正常,24189710334.799995,4.53257790368272,True,2026-06-26,,板材,,,,,,,,,,,
000933,神火股份,23.13,23.12,23.13,23.49,23.03,23.56,22.5,98052459.0,2258612751.0,-1.533,-0.36,23.13,29.658083333333334,-22.01114367359096,True,2026-07-13,9.313358597820937,2.070852676456655,53.494771601541004,51.3671875,False,2026-07-13,52019471748.99055,,,,正常,52019471748.99055,3.4587116299178557,True,2026-05-29,,铝,,,,,,,,,,,
000963,华东医药,29.16,29.16,29.17,29.38,29.16,29.47,28.85,18454429.0,536666992.0,-0.749,-0.22,29.16,33.22825,-12.243347151896355,True,2026-07-13,14.604653364896851,2.070882651335814,6.821480406386067,1.6932752781809386,True,2026-07-13,51138966487.32499,,,,正常,51138966487.32499,3.189300411522634,True,2026-06-10,,化学制剂,,,,,,,,,,,
001207,联科科技,14.81,14.81,14.85,15.49,15.39,15.4,14.6,5923815.0,88443870.0,-4.39,-0.68,14.81,18.873333333333335,-21.529494878134937,True,2026-07-13,16.338711374095986,1.8500328731097964,23.6734693877551,15.918367346938775,True,2026-07-13,4489469988.406311,,,,正常,4489469988.406311,5.401755570560432,True,2026-04-08,,炭黑,,,,,,,,,,,
001299,美能能源,9.67,9.67,9.68,9.97,9.99,10.12,9.52,4002693.0,39056583.0,-3.009,-0.3,9.67,10.752999999999998,-10.071607923370207,True,2026-07-13,29.30592300098717,2.7110365251727537,31.438127090301005,80.82497212931996,False,2026-07-13,3038460857.9940777,,,,正常,3038460857.9940777,6.721820062047571,True,2026-04-29,,燃气Ⅲ,,,,,,,,,,,
001308,康冠科技,17.84,17.83,17.84,19.01,18.98,18.98,17.66,6085043.0,110642908.0,-6.155,-1.17,17.84,20.39241666666667,-12.516499188832464,True,2026-07-13,28.15803846153846,1.561,99.40119760479041,0.09980039920159679,True,2026-07-13,12560988631.611538,,,,正常,12560988631.611538,5.381165919282511,True,2026-05-29,,面板,,,,,,,,,,,
001323,慕思股份,16.09,16.09,16.13,16.24,16.42,16.42,16.03,1351730.0,21868365.0,-0.924,-0.15,16.09,23.319916666666668,-31.00318397364199,True,2026-07-13,13.837793398533005,1.681778728606357,5.005107252298264,1.0214504596527068,True,2026-07-13,7000449492.72066,,,,正常,7000449492.72066,9.01180857675575,True,2026-06-08,,成品家居,,,,,,,,,,,
001328,登康口腔,25.87,25.78,25.87,26.43,26.3,26.75,25.58,1077500.0,27898688.0,-2.119,-0.56,25.87,33.43575,-22.627726310909722,True,2026-07-13,23.481407297096048,3.1205807892777373,0.38022813688212925,19.138149556400506,True,2026-07-13,4454136206.0,,,,正常,4454136206.0,3.2856590645535366,True,2026-06-05,,洗护用品,,,,,,,,,,,
001368,通达创智,20.44,20.41,20.45,21.12,20.86,21.17,20.35,1011400.0,20854751.0,-3.22,-0.68,20.44,26.07408333333333,-21.607982383528967,True,2026-07-13,22.734184808901784,1.6613062409288823,30.973451327433626,20.2275600505689,True,2026-07-13,2326827134.885341,,,,正常,2326827134.885341,3.669275929549902,True,2026-05-13,,娱乐用品,,,,,,,,,,,
001386,马可波罗,14.02,14.01,14.02,14.33,14.25,14.48,13.98,3408777.0,48045519.0,-2.163,-0.31,14.02,19.704,-28.846934632561915,True,2026-07-13,14.291292328956464,1.4145957152729782,1.1363636363636365,1.1363636363636365,True,2026-07-13,16752778400.0,,,,正常,16752778400.0,4.279600570613409,True,2026-06-10,,瓷砖地板,,,,,,,,,,,
001395,亚联机械,31.49,31.49,0.0,28.63,28.8,31.49,28.6,11640568.0,357072174.0,9.99,2.86,31.49,37.98558333333334,-17.10012789940044,True,2026-07-13,20.234968125796858,3.0780705482362927,34.097421203438394,24.641833810888254,True,2026-07-13,3571343879.999998,,,,正常,3571343879.999998,3.1756113051762465,True,2026-06-16,,其他专用设备,,,,,,,,,,,
001979,招商蛇口,6.32,6.31,6.32,6.62,6.56,6.6,6.29,73557056.0,469862453.0,-4.532,-0.3,6.32,8.773166666666667,-27.96215733581564,True,2026-07-13,92.27969558599695,0.5867884322678841,98.583984375,0.048828125,True,2026-07-13,56981323320.26788,,,,正常,56981323320.26788,3.0710585443037974,True,2025-07-17,,商业地产,,,,,,,,,,,
002004,华邦健康,4.19,4.19,4.2,4.13,4.13,4.24,4.11,28369422.0,118995288.0,1.453,0.06,4.19,4.984500000000001,-15.939412177751034,True,2026-07-13,12.133325062034737,0.8421588089330025,2.806824435883324,7.527926177756192,True,2026-07-13,8295861410.570718,,,,正常,8295861410.570718,10.739856801909307,True,2026-06-16,,化学制剂,,,,,,,,,,,
002007,华兰生物,12.92,12.92,12.93,12.8,12.8,12.98,12.75,12900598.0,166457201.0,0.937,0.12,12.92,14.425416666666667,-10.435862626729442,True,2026-07-13,27.501142857142863,2.1840952380952374,24.78134110787172,1.6520894071914478,True,2026-07-13,23587927539.530148,,,,正常,23587927539.530148,7.739938080495357,True,2026-06-15,,疫苗,,,,,,,,,,,
002010,传化智联,4.47,4.47,4.48,4.59,4.57,4.59,4.44,20897303.0,94285618.0,-2.614,-0.12,4.47,5.759166666666667,-22.384604254087705,True,2026-07-13,18.748624454148473,0.6929475982532749,42.76029055690073,5.956416464891041,True,2026-07-13,12355218159.111355,,,,正常,12355218159.111355,3.3557046979865772,True,2026-06-30,,公路货运,,,,,,,,,,,
002027,分众传媒,4.75,4.74,4.75,4.81,4.79,4.82,4.69,158106989.0,748904708.0,-1.247,-0.06,4.75,6.23525,-23.820215709073413,True,2026-07-13,19.048969072164954,5.396391752577318,32.65602322206096,23.609095307208513,True,2026-07-13,68600448698.402054,,,,正常,68600448698.402054,12.0,True,2026-07-09,,广告媒体,,,,,,,,,,,
002035,华帝股份,4.6,4.59,4.6,4.61,4.6,4.65,4.57,8672000.0,39910458.0,-0.217,-0.01,4.6,5.76225,-20.17007245433642,True,2026-07-13,13.178649237472769,1.0322440087145972,34.54457364341085,0.4844961240310077,True,2026-07-13,3899206643.180828,,,,正常,3899206643.180828,4.347826086956522,True,2026-06-18,,厨房电器,,,,,,,,,,,
002043,兔 宝 宝,11.08,11.06,11.08,11.01,11.01,11.14,10.88,8639969.0,95153576.0,0.636,0.07,11.08,14.224916666666669,-22.108506786800163,True,2026-07-13,12.274901960784316,2.883565062388592,19.75728155339806,26.74757281553398,True,2026-07-13,9193679638.79501,,,,正常,9193679638.79501,5.342960288808664,True,2026-06-01,,其他建材,,,,,,,,,,,
002048,宁波华翔,21.51,21.5,21.51,23.04,22.74,22.79,21.38,20488900.0,450185296.0,-6.641,-1.53,21.51,28.017833333333336,-23.227468219645818,True,2026-07-13,40.22800918196996,1.4812813021702835,90.45764362220059,84.81012658227847,False,2026-07-13,17505550454.11227,,,,正常,17505550454.11227,3.389121338912134,True,2026-05-29,,车身附件及饰件,,,,,,,,,,,
002060,广东建工,3.15,3.15,3.16,3.14,3.12,3.18,3.11,18270500.0,57610203.0,0.318,0.01,3.15,3.57225,-11.820281335292881,True,2026-07-13,10.978827361563516,0.8516286644951139,18.72568093385214,1.8482490272373542,True,2026-07-13,11826338712.361563,,,,正常,11826338712.361563,4.444444444444444,True,2026-05-22,,基建市政工程,,,,,,,,,,,
002083,孚日股份,9.0,9.0,9.01,9.3,9.29,9.4,8.92,25103399.0,228838685.0,-3.226,-0.3,9.0,11.162166666666668,-19.370492586564747,True,2026-07-13,17.702678571428592,1.8482142857142858,72.62135922330097,91.74757281553399,False,2026-07-13,8519751107.67857,,,,正常,8519751107.67857,3.3333333333333335,True,2026-06-18,,棉纺,,,,,,,,,,,
002088,鲁阳节能,7.41,7.4,7.41,7.66,7.6,7.71,7.34,2701004.0,20214518.0,-3.264,-0.25,7.41,10.164,-27.095631641086182,True,2026-07-13,15.723219307146966,1.5905784061696657,50.14563106796116,4.596032897919691,True,2026-07-13,3776367088.1838045,,,,正常,3776367088.1838045,4.048582995951417,True,2026-07-01,,耐火材料,,,,,,,,,,,
002091,江苏国泰,7.21,7.21,7.23,7.3,7.29,7.35,7.19,11958122.0,86595179.0,-1.233,-0.09,7.21,8.503666666666666,-15.213045352984977,True,2026-07-13,9.291339779005522,0.7568508287292819,34.9609375,5.56640625,True,2026-07-13,11735916961.980665,,,,正常,11735916961.980665,6.518693481276006,True,2026-06-08,,贸易,,,,,,,,,,,
002116,中国海诚,6.73,6.72,6.73,6.78,6.74,6.79,6.68,2511800.0,16883716.0,-0.737,-0.05,6.73,9.746583333333332,-30.9501620225891,True,2026-07-13,11.193775510204086,1.3832798833819238,0.3051881993896236,0.29069767441860467,True,2026-07-13,3761752734.4577265,,,,正常,3761752734.4577265,3.2586775631500746,True,2026-06-22,,其他专业工程,,,,,,,,,,,
002117,东港股份,7.63,7.62,7.63,7.99,7.92,8.0,7.59,8414750.0,64854380.0,-4.506,-0.36,7.63,10.209916666666665,-25.268733829038748,True,2026-07-13,26.48905660377358,3.013610062893082,50.2177068214804,33.1881954523464,False,2026-07-13,3995990886.410062,,,,正常,3995990886.410062,3.9318479685452163,True,2026-05-15,,印刷,,,,,,,,,,,
